emoji,int,hex
📇,128199,0x1f4c7
📈,128200,0x1f4c8
📉,128201,0x1f4c9
📊,128202,0x1f4ca
📋,128203,0x1f4cb
📌,128204,0x1f4cc
📍,128205,0x1f4cd
📎,128206,0x1f4ce
📏,128207,0x1f4cf
📐,128208,0x1f4d0
📑,128209,0x1f4d1
📒,128210,0x1f4d2
📓,128211,0x1f4d3
📔,128212,0x1f4d4
📕,128213,0x1f4d5
📖,128214,0x1f4d6
📗,128215,0x1f4d7
📘,128216,0x1f4d8
📙,128217,0x1f4d9
📚,128218,0x1f4da
📛,128219,0x1f4db
📜,128220,0x1f4dc
📝,128221,0x1f4dd
📞,128222,0x1f4de
📟,128223,0x1f4df
📠,128224,0x1f4e0
📡,128225,0x1f4e1
📢,128226,0x1f4e2
📣,128227,0x1f4e3
📤,128228,0x1f4e4
📥,128229,0x1f4e5
📦,128230,0x1f4e6
📧,128231,0x1f4e7
📨,128232,0x1f4e8
📩,128233,0x1f4e9
📪,128234,0x1f4ea
📫,128235,0x1f4eb
📬,128236,0x1f4ec
📭,128237,0x1f4ed
📮,128238,0x1f4ee
📯,128239,0x1f4ef
📰,128240,0x1f4f0
📱,128241,0x1f4f1
📲,128242,0x1f4f2
📳,128243,0x1f4f3
📴,128244,0x1f4f4
📵,128245,0x1f4f5
